PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1245944	1154	1	DR	2.49	8003043	43700000365
3302208	1131	1	DR	2.39	651444	43700000365
3309443	1131	1	DR	2.39	651444	43700000365
1133959	1131	2	DR	4.38	8000583	43700000365
1313908	1114	2	DR	9.98	8003043	53700000361
1143248	1162	1	DR	4.99	8003043	310041060636
3100560	1161	1	DR	4.99	651444	310041060636
3135657	1161	1	DR	4.99	651444	310041060636
3328294	1163	1	DR	4.99	651444	310041060636
3840611	1164	1	DR	4.99	651444	310041060636
1230011	1159	1	DR	3.99	8003043	310041060637
3136804	1160	1	DR	4.99	651444	310041060637
3327015	1163	1	DR	4.99	651444	310041060637
3831297	1163	1	DR	4.99	651444	310041060637
3132183	1162	1	DR	4.99	651444	310041060638
3139097	1162	1	DR	4.99	651444	310041060638
3140814	1164	1	DR	4.99	651444	310041060638
3304121	1162	1	DR	4.99	651444	310041060638
3328294	1163	1	DR	4.99	651444	310041060638
3348912	1163	2	DR	9.98	651444	310041060638
3368936	1162	1	DR	4.99	651444	310041060638
3814327	1161	1	DR	4.99	651444	310041060638
1131268	1124	2	DR	8.92	8003043	310041060639
3106013	1164	1	DR	4.99	651444	310041060639
3128066	1164	1	DR	4.99	651444	310041060639
1113423	1135	2	DR	7.4	8046669	310041060640
3115857	1161	1	DR	4.99	651444	310041060640
3314443	1163	1	DR	4.99	651444	310041060640
3333898	1161	1	DR	4.99	651444	310041060640
3346783	1160	2	DR	9.98	651444	310041060640
3376590	1164	1	DR	4.99	651444	310041060640
3131508	1163	1	DR	4.99	651444	310041060641
3302299	1163	1	DR	4.99	651444	310041060641
3312645	1161	1	DR	4.99	651444	310041060641
3321026	1162	1	DR	4.99	651444	310041060641
3801498	1161	1	DR	4.99	651444	310041060641
3835967	1162	1	DR	4.99	1091828	310041060641
1190009	1137	1	DR	1.49	8003043	310041080160
1198986	1116	2	DR	4.74	8003043	310041080160
1227611	1120	1	DR	2.69	8003043	310041080160
1303180	1159	2	DR	3.54	8003043	310041080160
1319137	1137	1	DR	1.49	8003043	310041080160
1402883	1124	2	DR	5.38	8003043	310041080160
1101162	1137	1	DR	1.49	8046669	310041080160
1126946	1149	1	DR	2.95	8003043	310041080700
1310557	1126	2	DR	5.66	8046669	310041080700
1405027	1118	1	DR	2.99	8003042	310041080700
1225904	1123	2	DR	4.18	8003043	310041081465
1319137	1137	1	DR	1.5	8003043	310041081465
1134114	1163	1	DR	1.5	8003059	310041081465
1132142	1164	2	DR	4.94	8046669	310041081465
1319137	1137	1	DR	1.5	8003043	310041084000
1403121	1148	1	DR	1.49	8046669	310041084000
1406819	1152	1	DR	0.74	8003043	310041085114
3317842	1157	1	DR	2.99	651444	310041085120
3339374	1124	2	DR	4.98	651444	310041085120
3348607	1157	1	DR	2.99	651444	310041085120
3808899	1157	1	DR	2.99	651444	310041085120
3814327	1158	1	DR	2.99	651444	310041085120
1137422	1145	1	DR	2.99	8000583	310041085120
1316729	1129	1	DR	2.99	8000583	310041085120
3132183	1157	1	DR	2.99	651444	310041085121
3347799	1157	1	DR	2.99	651444	310041085121
3807081	1139	1	DR	2.49	651444	310041085121
1189217	1163	1	DR	2.99	642166	310041085121
1141168	1122	1	DR	2.99	650679	310041085121
1316729	1129	1	DR	2.99	8000583	310041085121
1143248	1164	1	DR	2.49	8003043	310041085561
1200436	1151	1	DR	2	8003043	310041085561
1200436	1151	1	DR	1.99	8003043	310041085561
1223222	1147	3	DR	5.85	8003059	310041085561
1191874	1151	1	DR	2	8046669	310041085561
1225904	1141	2	DR	3.98	8046669	310041085561
3106013	1136	1	DR	2.49	651444	310041085561
3377770	1137	1	DR	2.49	651444	310041085561
3823120	1130	1	DR	3.49	651444	310041085561
1312843	1128	1	DR	2.99	8003042	310041085561
1119842	1136	1	DR	2.99	650679	310041085561
1100503	1163	1	DR	2.99	8003043	310041085562
1145938	1147	1	DR	1.75	8003043	310041085562
1145938	1147	1	DR	1.74	8003043	310041085562
1191874	1151	1	DR	1.99	8046669	310041085562
3100560	1156	1	DR	2.99	651444	310041085562
1325977	1127	1	DR	2.99	8003042	310041085562
1143248	1164	1	DR	2.5	8003043	310041086736
1318378	1151	1	DR	1.99	8003043	310041086736
1318378	1151	1	DR	2	8003043	310041086736
1202218	1164	2	DR	4.98	8003059	310041086736
3302299	1158	1	DR	2.99	651444	310041086736
3312645	1160	1	DR	2.99	651444	310041086736
3328294	1160	3	DR	8.97	651444	310041086736
3339069	1136	1	DR	3.49	651444	310041086736
3348458	1160	1	DR	2.99	651444	310041086736
3376590	1124	2	DR	4.98	651444	310041086736
1140632	1156	1	DR	2.99	8000583	310041086736
1408260	1132	3	DR	8.97	8003042	310041086737
1126615	1151	1	DR	2	8003043	310041662122
1145599	1124	2	DR	3.58	8046669	310041662122
1111971	1156	1	DR	3.99	8003059	310041663199
1213785	1117	1	DR	1.94	8000583	318137007098
1213785	1117	1	DR	1.94	8000583	318137007098
1109447	1128	1	DR	1.39	8003043	318137007120
1137190	1114	1	DR	1.5	8003043	318137007120
3801423	1152	2	DR	4.98	651444	318137007245
1812982	1150	2	DR	3.48	8003043	318137007256
3106823	1158	1	DR	3.49	651444	318137007256
3115857	1157	1	DR	3.49	651444	318137007256
3136804	1156	1	DR	3.49	651444	318137007256
3310433	1157	1	DR	3.49	651444	318137007256
3311993	1157	2	DR	6.98	651444	318137007256
3312645	1157	1	DR	3.49	651444	318137007256
3317842	1157	1	DR	3.49	651444	318137007256
3328294	1160	1	DR	3.49	651444	318137007256
3333898	1157	2	DR	6.98	651444	318137007256
3346783	1160	2	DR	6.98	651444	318137007256
3376590	1160	1	DR	3.49	651444	318137007256
